  Density   MeanSpeed
  0.015809  1.486409
  0.098605  1.486364
  0.168983  1.486324
  0.243471  1.484571
  0.309680  1.482824
  0.375805  1.475930
  0.437736  1.465608
  0.491359  1.453578
  0.540731  1.434695
  0.573600  1.419246
  0.606412  1.400372
  0.630973  1.383214
  0.655479  1.362628
  0.675872  1.343759
  0.704546  1.324885
  0.728940  1.297441
  0.753362  1.271709
  0.777867  1.251123
  0.806402  1.223680
  0.826767  1.203093
  0.859497  1.179074
  0.883974  1.156776
  0.916676  1.131040
  0.957546  1.098442
  0.998445  1.067560
  1.031119  1.040112
  1.068015  1.017805
  1.096684  0.998931
  1.129471  0.978340
  1.162311  0.961178
  1.190959  0.940592
  1.231938  0.914852
  1.268895  0.895973
  1.305789  0.873666
  1.350970  0.851354
  1.396227  0.834188
  1.437323  0.815305
  1.474270  0.796427
  1.515388  0.779260
  1.556517  0.762094
  1.605880  0.743211
  1.651094  0.722612
  1.696350  0.705445
  1.753948  0.683129
  1.807482  0.665954
  1.873443  0.648774
  1.922784  0.628175
  1.980521  0.614428
  2.038205  0.597253
  2.091803  0.583511
  2.157786  0.568043
  2.232077  0.554292
  2.285676  0.540546
  2.351658  0.525083
  2.430067  0.509611
  2.496168  0.501001
  2.570492  0.488962
  2.653147  0.480348
  2.756442  0.468291
  2.843300  0.463101
  2.942542  0.456190
  3.037732  0.454424
  3.137081  0.454370
  3.244719  0.454317
  3.339909  0.452551
  3.455824  0.452488
  3.584101  0.448992
  3.683483  0.450651
  3.770395  0.448894
  3.857329  0.448845
  3.960828  0.448791
  4.076711  0.447015
  4.196764  0.446951
  4.316797  0.445173
  4.424424  0.445115
  4.540285  0.441625
  4.635507  0.441574
  4.767944  0.439789
  4.925203  0.436277
  5.045235  0.434499
  5.173545  0.432716
  5.285235  0.427514
  5.367976  0.424041
  5.467186  0.415416
  5.566353  0.403362
  5.669594  0.387877
  5.743886  0.374122
  5.813985  0.356940
  5.879914  0.338047
  5.933287  0.310587
  5.986745  0.288271
  6.036119  0.269386
  6.081215  0.241931
  6.122247  0.219622
  6.163289  0.197312
  6.216555  0.162995
  6.257415  0.130399
  6.298425  0.106376
  6.339382  0.078923
  6.388530  0.046322
  6.425402  0.022301
  6.449879  0.000000
