Time;PeopleCount;WindowSize;CellsInMeter;MeanSpeed;Density;Flow
4.000000;1;5;2.500000;1.306747;0.001294;0.000000
14.000000;30;5;2.500000;1.334507;0.038820;0.000000
24.000000;59;5;2.500000;1.342545;0.076346;0.000000
34.000000;85;5;2.500000;1.336399;0.109990;0.091667
44.000000;115;5;2.500000;1.335025;0.148810;0.225000
54.000000;148;5;2.500000;1.338825;0.191511;0.266667
64.000000;176;5;2.500000;1.345482;0.227743;0.241667
74.000000;209;5;2.500000;1.347966;0.270445;0.241667
84.000000;243;5;2.500000;1.352808;0.314441;0.366667
94.000000;268;5;2.500000;1.345196;0.346791;0.441667
104.000000;297;5;2.500000;1.344061;0.384317;0.400000
114.000000;327;5;2.500000;1.353623;0.423137;0.533333
124.000000;358;5;2.500000;1.346725;0.463251;0.583333
134.000000;391;5;2.500000;1.350492;0.505952;0.583333
144.000000;423;5;2.500000;1.344347;0.547360;0.616667
154.000000;447;5;2.500000;1.350720;0.578416;0.658333
164.000000;479;5;2.500000;1.343476;0.619824;0.658333
174.000000;509;5;2.500000;1.338523;0.658644;0.800000
184.000000;540;5;2.500000;1.342858;0.698758;0.925000
194.000000;569;5;2.500000;1.331778;0.736284;0.825000
204.000000;598;5;2.500000;1.333513;0.773810;0.741667
214.000000;623;5;2.500000;1.326711;0.806159;1.008333
224.000000;656;5;2.500000;1.316486;0.848861;1.000000
234.000000;686;5;2.500000;1.325694;0.887681;0.950000
244.000000;719;5;2.500000;1.313444;0.930383;1.091667
254.000000;747;5;2.500000;1.319649;0.966615;1.125000
264.001155;767;5;2.500000;1.306525;0.992495;1.058211
274.002093;782;5;2.500000;1.293066;1.011905;1.199888
284.002212;789;5;2.500000;1.265096;1.020963;1.116653
294.002801;800;5;2.500000;1.225655;1.035197;1.133267
304.003775;812;5;2.500000;1.174992;1.050725;0.874915
314.003915;818;5;2.500000;1.128832;1.058489;0.991653
324.004237;828;5;2.500000;1.116520;1.071429;1.066632
334.004676;834;5;2.500000;1.134376;1.079193;0.933292
344.004755;841;5;2.500000;1.088506;1.088251;0.949992
354.004856;846;5;2.500000;1.110576;1.094720;0.849991
364.005293;857;5;2.500000;1.074716;1.108954;0.999956
374.005567;864;5;2.500000;1.100107;1.118012;1.016639
384.005763;869;5;2.500000;1.055221;1.124482;0.958314
394.006022;875;5;2.500000;1.079740;1.132246;0.991641
404.006109;882;5;2.500000;1.083851;1.141304;0.974992
414.006128;893;5;2.500000;1.073479;1.155538;0.841665
424.006787;901;5;2.500000;1.082880;1.165890;1.033265
434.007138;908;5;2.500000;1.074341;1.174948;0.966633
444.007291;916;5;2.500000;1.065250;1.185300;1.049984
454.007776;921;5;2.500000;1.041143;1.191770;0.966620
464.008066;933;5;2.500000;1.026831;1.207298;1.016637
474.008095;940;5;2.500000;0.980240;1.216356;1.041664
484.008126;953;5;2.500000;1.001821;1.233178;0.899997
494.008583;960;5;2.500000;0.989429;1.242236;0.941624
504.008597;971;5;2.500000;0.986683;1.256470;0.949999
514.008843;976;5;2.500000;0.984302;1.262940;0.949977
524.009069;981;5;2.500000;0.988670;1.269410;1.008311
534.009383;988;5;2.500000;0.999479;1.278468;0.933304
544.009840;998;5;2.500000;0.979100;1.291408;0.916625
554.010041;1005;5;2.500000;0.959483;1.300466;1.024979
564.010077;1017;5;2.500000;0.945045;1.315994;0.958330
574.010199;1026;5;2.500000;0.927021;1.327640;0.949988
584.010313;1034;5;2.500000;0.926644;1.337992;0.899990
594.010857;1041;5;2.500000;0.956731;1.347050;0.899951
604.010980;1050;5;2.500000;0.932236;1.358696;0.908322
614.011391;1057;5;2.500000;0.899794;1.367754;0.899963
624.011531;1065;5;2.500000;0.901779;1.378106;0.899987
634.011617;1069;5;2.500000;0.920993;1.383282;0.891659
644.012231;1076;5;2.500000;0.907219;1.392340;0.933276
654.012456;1083;5;2.500000;0.891408;1.401398;0.924979
664.012541;1090;5;2.500000;0.884689;1.410455;0.933325
674.013041;1101;5;2.500000;0.887547;1.424689;0.908288
684.013221;1107;5;2.500000;0.861793;1.432453;0.908317
694.013264;1115;5;2.500000;0.855577;1.442805;0.924996
704.013291;1127;5;2.500000;0.847442;1.458333;0.891664
714.013450;1136;5;2.500000;0.818536;1.469979;0.849986
724.013867;1149;5;2.500000;0.839730;1.486801;0.874964
734.014208;1154;5;2.500000;0.827183;1.493271;0.883303
744.014231;1168;5;2.500000;0.808849;1.511387;0.849998
754.014569;1179;5;2.500000;0.813123;1.525621;0.891637
764.014638;1189;5;2.500000;0.789961;1.538561;0.849994
774.015038;1197;5;2.500000;0.804049;1.548913;0.924963
784.015087;1206;5;2.500000;0.822958;1.560559;0.858329
794.015189;1215;5;2.500000;0.797677;1.572205;0.924991
804.015244;1229;5;2.500000;0.798366;1.590321;0.933328
814.015274;1234;5;2.500000;0.788479;1.596791;0.883331
824.015380;1243;5;2.500000;0.775660;1.608437;0.891657
834.015624;1250;5;2.500000;0.788776;1.617495;0.933311
844.015856;1259;5;2.500000;0.773041;1.629141;0.924979
854.015917;1266;5;2.500000;0.756658;1.638199;0.849995
864.015974;1273;5;2.500000;0.748062;1.647257;0.949995
874.016144;1283;5;2.500000;0.719376;1.660197;0.824986
884.016212;1293;5;2.500000;0.720053;1.673137;0.883327
894.016309;1300;5;2.500000;0.718922;1.682195;0.899991
904.016546;1311;5;2.500000;0.710304;1.696429;0.858313
914.016603;1322;5;2.500000;0.694969;1.710663;0.891662
924.016627;1330;5;2.500000;0.688211;1.721014;0.866665
934.016744;1337;5;2.500000;0.680461;1.730072;0.824990
944.017026;1345;5;2.500000;0.667507;1.740424;0.783311
954.017255;1351;5;2.500000;0.671835;1.748188;0.883313
