Time;PeopleCount;WindowSize;CellsInMeter;MeanSpeed;Density;Flow
6.000000;1;5;2.500000;1.145353;0.001294;0.000000
16.000000;31;5;2.500000;1.309223;0.040114;0.000000
26.000000;57;5;2.500000;1.335741;0.073758;0.000000
36.000000;91;5;2.500000;1.344761;0.117754;0.108333
46.000000;123;5;2.500000;1.346849;0.159161;0.250000
56.000000;158;5;2.500000;1.335883;0.204451;0.225000
66.000000;187;5;2.500000;1.337975;0.241977;0.316667
76.000000;213;5;2.500000;1.343959;0.275621;0.283333
86.007079;239;5;2.500000;1.341887;0.309265;0.358080
96.008316;271;5;2.500000;1.345018;0.350673;0.399951
106.008484;298;5;2.500000;1.342858;0.385611;0.433326
116.009422;329;5;2.500000;1.350627;0.425725;0.566614
126.009589;360;5;2.500000;1.344809;0.465839;0.583324
136.010438;393;5;2.500000;1.348086;0.508540;0.583284
146.011139;423;5;2.500000;1.346645;0.547360;0.624956
156.012154;455;5;2.500000;1.344544;0.588768;0.624937
166.013206;489;5;2.500000;1.345628;0.632764;0.749921
176.014677;520;5;2.500000;1.336467;0.672878;0.858207
186.016520;548;5;2.500000;1.338522;0.709110;0.883171
196.017234;577;5;2.500000;1.334016;0.746636;0.816608
206.017740;603;5;2.500000;1.327137;0.780280;0.958285
216.018080;633;5;2.500000;1.325316;0.819099;0.899969
226.019837;666;5;2.500000;1.315805;0.861801;1.091475
236.020440;691;5;2.500000;1.315912;0.894151;0.933277
246.020441;716;5;2.500000;1.310801;0.926501;1.033333
256.020472;743;5;2.500000;1.305295;0.961439;1.108330
266.020528;772;5;2.500000;1.308594;0.998965;1.199993
276.021039;800;5;2.500000;1.303255;1.035197;1.166607
286.021151;820;5;2.500000;1.296160;1.061077;1.258319
296.021246;829;5;2.500000;1.260823;1.072723;1.208322
306.021816;836;5;2.500000;1.197414;1.081781;1.166600
316.022374;844;5;2.500000;1.168596;1.092133;1.066607
326.022398;854;5;2.500000;1.105794;1.105072;0.949998
336.023009;864;5;2.500000;1.105432;1.118012;0.991606
346.023513;876;5;2.500000;1.060981;1.133540;0.974951
356.023591;885;5;2.500000;1.061554;1.145186;1.058325
366.023602;888;5;2.500000;1.022300;1.149068;0.999999
376.023649;899;5;2.500000;1.039591;1.163302;0.808330
