Time;PeopleCount;WindowSize;CellsInMeter;MeanSpeed;Density;Flow
6.000000;1;5;2.500000;1.145353;0.001294;0.000000
16.000000;31;5;2.500000;1.306864;0.040114;0.000000
26.000000;64;5;2.500000;1.345361;0.082816;0.000000
36.000000;94;5;2.500000;1.336789;0.121636;0.108333
46.000000;127;5;2.500000;1.337616;0.164337;0.283333
56.000000;154;5;2.500000;1.334740;0.199275;0.258333
66.000000;185;5;2.500000;1.326411;0.239389;0.258333
76.000000;210;5;2.500000;1.321541;0.271739;0.258333
86.000000;239;5;2.500000;1.324282;0.309265;0.350000
96.000029;266;5;2.500000;1.320973;0.344203;0.366666
106.001173;301;5;2.500000;1.328638;0.389493;0.541605
116.002506;333;5;2.500000;1.328287;0.430901;0.516598
126.002602;364;5;2.500000;1.326612;0.471014;0.458329
136.003165;389;5;2.500000;1.325103;0.503364;0.683295
146.004126;426;5;2.500000;1.331583;0.551242;0.624940
156.005009;459;5;2.500000;1.329634;0.593944;0.624945
166.005427;489;5;2.500000;1.328093;0.632764;0.791634
176.006033;521;5;2.500000;1.323780;0.674172;0.799952
186.006913;551;5;2.500000;1.325983;0.712992;0.833260
196.007391;585;5;2.500000;1.325381;0.756988;0.808295
206.008140;612;5;2.500000;1.320242;0.791925;0.941596
216.008861;641;5;2.500000;1.318410;0.829451;0.966597
226.008878;669;5;2.500000;1.317962;0.865683;1.083331
236.009119;691;5;2.500000;1.317012;0.894151;1.033308
246.009580;721;5;2.500000;1.317312;0.932971;1.183279
256.009586;722;5;2.500000;1.289728;0.934265;0.866666
266.009753;724;5;2.500000;1.158786;0.936853;1.108315
276.010178;726;5;2.500000;1.026888;0.939441;1.008291
286.010279;728;5;2.500000;0.896920;0.942029;0.383329
296.010321;729;5;2.500000;0.766361;0.943323;0.241666
306.010345;730;5;2.500000;0.707425;0.944617;0.308333
316.010417;731;5;2.500000;0.680911;0.945911;0.233332
326.010423;731;5;2.500000;0.671503;0.945911;0.275000
336.010427;731;5;2.500000;0.692894;0.945911;0.241667
346.011107;732;5;2.500000;0.644801;0.947205;0.233317
356.011144;734;5;2.500000;0.666258;0.949793;0.266666
366.011209;735;5;2.500000;0.653966;0.951087;0.274998
376.011435;737;5;2.500000;0.638806;0.953675;0.258327
386.011470;737;5;2.500000;0.668761;0.953675;0.249999
396.011738;738;5;2.500000;0.660683;0.954969;0.249993
406.012189;739;5;2.500000;0.672743;0.956263;0.274988
416.012375;742;5;2.500000;0.662367;0.960145;0.216663
426.012465;743;5;2.500000;0.676746;0.961439;0.249998
436.012494;745;5;2.500000;0.668812;0.964027;0.274999
446.012519;746;5;2.500000;0.667709;0.965321;0.224999
456.012546;747;5;2.500000;0.643919;0.966615;0.283333
466.012633;748;5;2.500000;0.650588;0.967909;0.233331
476.013088;749;5;2.500000;0.664923;0.969203;0.266655
486.013200;753;5;2.500000;0.666629;0.974379;0.224997
496.013449;755;5;2.500000;0.662831;0.976967;0.316659
506.013482;759;5;2.500000;0.643025;0.982143;0.249999
516.014184;761;5;2.500000;0.644942;0.984731;0.241650
526.014284;764;5;2.500000;0.659255;0.988613;0.274997
536.014346;768;5;2.500000;0.666320;0.993789;0.274998
546.014363;769;5;2.500000;0.668170;0.995083;0.241666
556.015339;772;5;2.500000;0.685055;0.998965;0.241643
566.015557;773;5;2.500000;0.667067;1.000259;0.216662
576.015656;775;5;2.500000;0.648293;1.002847;0.274997
586.015685;775;5;2.500000;0.660818;1.002847;0.291666
596.015978;778;5;2.500000;0.679764;1.006729;0.224993
606.016018;782;5;2.500000;0.682452;1.011905;0.274999
616.016763;782;5;2.500000;0.669516;1.011905;0.266647
626.017341;785;5;2.500000;0.656258;1.015787;0.249986
636.017430;786;5;2.500000;0.673193;1.017081;0.299997
646.017566;788;5;2.500000;0.670512;1.019669;0.191664
656.018187;790;5;2.500000;0.675662;1.022257;0.233319
666.018231;791;5;2.500000;0.669742;1.023551;0.283332
676.018632;793;5;2.500000;0.659709;1.026139;0.191659
686.018865;796;5;2.500000;0.694818;1.030021;0.249994
696.018925;797;5;2.500000;0.706554;1.031315;0.274998
706.019119;799;5;2.500000;0.680793;1.033903;0.224996
716.019187;801;5;2.500000;0.681004;1.036491;0.241665
726.019332;802;5;2.500000;0.673484;1.037785;0.274996
736.019449;803;5;2.500000;0.678153;1.039079;0.199998
746.019483;805;5;2.500000;0.685343;1.041667;0.274999
756.019826;807;5;2.500000;0.667902;1.044255;0.266658
766.019831;808;5;2.500000;0.672534;1.045549;0.258333
776.020931;813;5;2.500000;0.662406;1.052019;0.216643
786.020938;814;5;2.500000;0.669126;1.053313;0.233333
796.020995;816;5;2.500000;0.710428;1.055901;0.183332
