Time;PeopleCount;WindowSize;CellsInMeter;MeanSpeed;Density;Flow
6.000000;1;5;2.500000;1.145353;0.001294;0.000000
16.000000;31;5;2.500000;1.306864;0.040114;0.000000
26.000000;64;5;2.500000;1.345361;0.082816;0.000000
36.000000;94;5;2.500000;1.336789;0.121636;0.108333
46.000000;127;5;2.500000;1.337616;0.164337;0.283333
56.000000;154;5;2.500000;1.334740;0.199275;0.258333
66.000000;185;5;2.500000;1.326411;0.239389;0.258333
76.000000;210;5;2.500000;1.321541;0.271739;0.258333
86.000000;239;5;2.500000;1.324282;0.309265;0.350000
96.000029;266;5;2.500000;1.321602;0.344203;0.366666
106.000550;300;5;2.500000;1.324702;0.388199;0.541638
116.002220;331;5;2.500000;1.329566;0.428313;0.508248
126.002380;359;5;2.500000;1.328895;0.464545;0.466659
136.003147;392;5;2.500000;1.326063;0.507246;0.683281
146.003169;421;5;2.500000;1.323739;0.544772;0.583332
156.003994;453;5;2.500000;1.320512;0.586180;0.683277
166.004486;478;5;2.500000;1.324228;0.618530;0.741630
176.005309;507;5;2.500000;1.318813;0.656056;0.741606
186.005621;535;5;2.500000;1.313560;0.692288;0.891639
196.006222;566;5;2.500000;1.314378;0.732402;0.883280
206.006452;601;5;2.500000;1.312331;0.777692;0.824981
216.007367;627;5;2.500000;1.309360;0.811335;0.866587
226.007605;658;5;2.500000;1.303212;0.851449;1.041642
236.008422;689;5;2.500000;1.310494;0.891563;1.033249
246.008651;717;5;2.500000;1.305604;0.927795;1.166640
256.009292;746;5;2.500000;1.294812;0.965321;0.983270
266.009302;774;5;2.500000;1.285334;1.001553;1.049999
276.009451;806;5;2.500000;1.279641;1.042961;1.174982
286.009537;834;5;2.500000;1.285699;1.079193;1.233323
296.009649;865;5;2.500000;1.277800;1.119306;1.274986
306.010539;892;5;2.500000;1.276889;1.154244;1.333215
316.011046;928;5;2.500000;1.254800;1.200828;1.391596
326.011667;955;5;2.500000;1.244220;1.235766;1.149929
336.011688;981;5;2.500000;1.226998;1.269410;1.349997
346.011979;1010;5;2.500000;1.215491;1.306936;1.399959
356.012072;1035;5;2.500000;1.203171;1.339286;1.308321
366.012544;1065;5;2.500000;1.195210;1.378106;1.466597
376.013413;1096;5;2.500000;1.176527;1.418219;1.441541
386.013658;1127;5;2.500000;1.168999;1.458333;1.408299
396.013798;1158;5;2.500000;1.159367;1.498447;1.416647
406.014127;1191;5;2.500000;1.138592;1.541149;1.524950
416.014176;1219;5;2.500000;1.127659;1.577381;1.449993
426.014342;1242;5;2.500000;1.125121;1.607143;1.549974
436.014872;1276;5;2.500000;1.108443;1.651139;1.566584
446.014921;1303;5;2.500000;1.096813;1.686077;1.499993
456.014981;1331;5;2.500000;1.085742;1.722308;1.566657
466.015100;1358;5;2.500000;1.081235;1.757246;1.608314
476.015736;1385;5;2.500000;1.069582;1.792184;1.716558
486.016116;1414;5;2.500000;1.058272;1.829710;1.641604
496.016271;1446;5;2.500000;1.044363;1.871118;1.649974
506.016301;1478;5;2.500000;1.037454;1.912526;1.724995
516.016361;1507;5;2.500000;1.026617;1.950052;1.666657
526.016692;1535;5;2.500000;1.017071;1.986284;1.633279
536.016702;1563;5;2.500000;1.013957;2.022516;1.724998
546.016739;1593;5;2.500000;1.007310;2.061335;1.724994
556.016926;1621;5;2.500000;0.997893;2.097567;1.808300
566.016942;1648;5;2.500000;0.994293;2.132505;1.883330
576.017398;1675;5;2.500000;0.993215;2.167443;1.749920
586.017545;1706;5;2.500000;0.988764;2.207557;1.833306
596.017750;1734;5;2.500000;0.985299;2.243789;1.724965
606.017845;1763;5;2.500000;0.983472;2.281315;1.708317
616.017873;1795;5;2.500000;0.981086;2.322723;2.008328
626.018151;1819;5;2.500000;0.981116;2.353778;1.866615
636.018336;1848;5;2.500000;0.983005;2.391304;1.966630
646.018358;1877;5;2.500000;0.979629;2.428830;1.908329
656.018441;1908;5;2.500000;0.981374;2.468944;1.891651
666.018814;1933;5;2.500000;0.976200;2.501294;2.016592
676.019209;1962;5;2.500000;0.976826;2.538820;2.083251
686.019238;1989;5;2.500000;0.980194;2.573758;2.108327
696.019273;2012;5;2.500000;0.980796;2.603520;2.158326
706.019275;2041;5;2.500000;0.974262;2.641046;2.050000
716.019275;2069;5;2.500000;0.974561;2.677277;1.958333
726.019522;2092;5;2.500000;0.975259;2.707039;2.274944
736.019557;2122;5;2.500000;0.974025;2.745859;2.133326
746.019633;2152;5;2.500000;0.974587;2.784679;2.191650
756.019659;2174;5;2.500000;0.974536;2.813147;2.124994
766.019729;2206;5;2.500000;0.974535;2.854555;2.391650
776.020232;2236;5;2.500000;0.975634;2.893375;2.291552
786.020298;2262;5;2.500000;0.971527;2.927019;2.291651
