Time;PeopleCount;WindowSize;CellsInMeter;MeanSpeed;Density;Flow
6.000000;1;5;2.500000;1.145353;0.001294;0.000000
16.000000;31;5;2.500000;1.328661;0.040114;0.000000
26.000000;62;5;2.500000;1.332679;0.080228;0.000000
36.000000;95;5;2.500000;1.339275;0.122930;0.125000
46.000000;128;5;2.500000;1.349166;0.165631;0.250000
56.000000;159;5;2.500000;1.345915;0.205745;0.291667
66.000000;189;5;2.500000;1.336246;0.244565;0.308333
76.000000;216;5;2.500000;1.343773;0.279503;0.258333
86.000000;242;5;2.500000;1.339704;0.313147;0.350000
96.000000;277;5;2.500000;1.337980;0.358437;0.525000
106.000000;308;5;2.500000;1.343792;0.398551;0.466667
116.000000;342;5;2.500000;1.346808;0.442547;0.550000
126.000000;370;5;2.500000;1.344753;0.478778;0.633333
136.000000;402;5;2.500000;1.347326;0.520186;0.566667
146.000000;431;5;2.500000;1.341021;0.557712;0.750000
156.000000;463;5;2.500000;1.337079;0.599120;0.783333
166.000000;493;5;2.500000;1.343097;0.637940;0.783333
176.000000;521;5;2.500000;1.343144;0.674172;0.825000
186.000000;551;5;2.500000;1.340779;0.712992;0.900000
196.000000;582;5;2.500000;1.340817;0.753106;0.975000
206.000000;611;5;2.500000;1.341955;0.790631;0.925000
216.000000;643;5;2.500000;1.337103;0.832039;1.100000
226.000000;672;5;2.500000;1.341267;0.869565;1.083333
236.000000;704;5;2.500000;1.337796;0.910973;1.091667
246.000000;738;5;2.500000;1.339854;0.954969;1.183333
256.000000;763;5;2.500000;1.339426;0.987319;1.291667
266.000000;791;5;2.500000;1.338671;1.023551;1.258333
276.000000;822;5;2.500000;1.337513;1.063665;1.366667
286.000000;849;5;2.500000;1.338067;1.098602;1.366667
296.000000;875;5;2.500000;1.336965;1.132246;1.325000
306.000161;905;5;2.500000;1.338946;1.171066;1.541642
316.000347;936;5;2.500000;1.341487;1.211180;1.616637
326.000924;962;5;2.500000;1.339892;1.244824;1.591575
336.000939;994;5;2.500000;1.339922;1.286232;1.433331
346.001239;1020;5;2.500000;1.335908;1.319876;1.624951
356.001255;1051;5;2.500000;1.338140;1.359990;1.633331
366.001774;1079;5;2.500000;1.334062;1.396222;1.691579
376.002094;1108;5;2.500000;1.333385;1.433747;1.958271
386.002579;1140;5;2.500000;1.334694;1.475155;1.816579
396.003016;1167;5;2.500000;1.334187;1.510093;1.774922
406.003780;1201;5;2.500000;1.333018;1.554089;2.033178
416.003825;1227;5;2.500000;1.334337;1.587733;1.791659
426.004085;1256;5;2.500000;1.331454;1.625259;1.999948
436.004270;1286;5;2.500000;1.331345;1.664079;2.099961
446.004778;1318;5;2.500000;1.332838;1.705487;2.174889
456.005391;1350;5;2.500000;1.331000;1.746894;1.941548
466.005611;1381;5;2.500000;1.330125;1.787008;2.374948
476.005702;1407;5;2.500000;1.329172;1.820652;2.208313
486.005767;1439;5;2.500000;1.330072;1.862060;2.291652
496.006029;1465;5;2.500000;1.328020;1.895704;2.141611
506.006046;1495;5;2.500000;1.330848;1.934524;2.449996
516.006217;1523;5;2.500000;1.329677;1.970756;2.408292
526.006229;1554;5;2.500000;1.330649;2.010870;2.499997
536.006612;1581;5;2.500000;1.330042;2.045807;2.441573
546.007012;1607;5;2.500000;1.328628;2.079451;2.483234
556.007080;1639;5;2.500000;1.328502;2.120859;2.266651
566.007096;1665;5;2.500000;1.328859;2.154503;2.666662
576.007118;1700;5;2.500000;1.327650;2.199793;2.741661
586.007166;1721;5;2.500000;1.327709;2.226967;2.841653
596.007405;1750;5;2.500000;1.328488;2.264493;2.666603
606.007582;1781;5;2.500000;1.324562;2.304607;2.741618
616.007615;1808;5;2.500000;1.322001;2.339545;2.674991
626.007645;1837;5;2.500000;1.323171;2.377070;2.666659
636.007672;1862;5;2.500000;1.323415;2.409420;2.841659
646.007853;1889;5;2.500000;1.324505;2.444358;2.941613
656.008036;1919;5;2.500000;1.324817;2.483178;2.824948
666.008106;1947;5;2.500000;1.323781;2.519410;3.024979
676.008357;1974;5;2.500000;1.322120;2.554348;2.958259
686.008511;1999;5;2.500000;1.322650;2.586698;3.008287
696.008546;2028;5;2.500000;1.321930;2.624224;3.033323
706.008699;2051;5;2.500000;1.321318;2.653986;2.991621
716.008832;2081;5;2.500000;1.319367;2.692805;3.024960
726.008860;2106;5;2.500000;1.317940;2.725155;3.174991
736.009116;2132;5;2.500000;1.319231;2.758799;3.066588
746.009188;2158;5;2.500000;1.321298;2.792443;3.283310
756.009188;2184;5;2.500000;1.318932;2.826087;3.200000
766.009373;2207;5;2.500000;1.313174;2.855849;3.324938
776.009565;2238;5;2.500000;1.312748;2.895963;3.249938
786.009718;2260;5;2.500000;1.309195;2.924431;3.233284
796.010319;2283;5;2.500000;1.305391;2.954193;3.091481
806.010610;2309;5;2.500000;1.304528;2.987836;3.241572
816.010635;2336;5;2.500000;1.305707;3.022774;3.191659
826.010658;2359;5;2.500000;1.303828;3.052536;3.366659
836.010739;2387;5;2.500000;1.303685;3.088768;3.341640
846.010783;2412;5;2.500000;1.301573;3.121118;3.458318
856.010917;2432;5;2.500000;1.303239;3.146998;3.458287
866.010935;2453;5;2.500000;1.298754;3.174172;3.516660
876.011174;2471;5;2.500000;1.296034;3.197464;3.283255
886.011306;2490;5;2.500000;1.293010;3.222050;3.333289
896.011325;2512;5;2.500000;1.295844;3.250518;3.158327
906.011334;2531;5;2.500000;1.290610;3.275104;3.533330
916.011426;2546;5;2.500000;1.287532;3.294513;3.466635
926.011433;2566;5;2.500000;1.288195;3.320393;3.533331
936.011440;2584;5;2.500000;1.285971;3.343685;3.299998
946.011500;2604;5;2.500000;1.281595;3.369565;3.599978
956.011588;2619;5;2.500000;1.277756;3.388975;3.299971
966.011932;2630;5;2.500000;1.275932;3.403209;3.566544
976.012132;2647;5;2.500000;1.273832;3.425207;3.391599
986.012183;2664;5;2.500000;1.274211;3.447205;3.416649
996.012359;2675;5;2.500000;1.268467;3.461439;3.358274
1006.012489;2688;5;2.500000;1.273396;3.478261;3.624953
1016.012865;2703;5;2.500000;1.275633;3.497671;3.616531
1026.013016;2715;5;2.500000;1.274832;3.513199;3.499947
1036.013143;2733;5;2.500000;1.275668;3.536491;3.466623
1046.013174;2747;5;2.500000;1.268802;3.554607;3.491656
1056.013187;2766;5;2.500000;1.265040;3.579193;3.258329
1066.013359;2784;5;2.500000;1.260645;3.602484;3.624938
1076.013569;2801;5;2.500000;1.260353;3.624482;3.491593
1086.013611;2823;5;2.500000;1.261599;3.652950;3.374986
1096.013618;2837;5;2.500000;1.259235;3.671066;3.424998
