Time;PeopleCount;WindowSize;CellsInMeter;MeanSpeed;Density;Flow
6.000000;1;5;2.500000;1.145353;0.001294;0.000000
16.000000;32;5;2.500000;0.685114;0.041408;0.000000
26.000000;63;5;2.500000;0.483580;0.081522;0.000000
36.000000;89;5;2.500000;0.371974;0.115166;0.000000
46.000000;117;5;2.500000;0.343899;0.151398;0.000000
56.000000;146;5;2.500000;0.333365;0.188923;0.000000
66.000000;175;5;2.500000;0.331439;0.226449;0.000000
76.000000;204;5;2.500000;0.308892;0.263975;0.000000
86.000000;232;5;2.500000;0.292075;0.300207;0.000000
96.000119;264;5;2.500000;0.295021;0.341615;0.000000
106.000273;293;5;2.500000;0.282034;0.379141;0.008333
116.000441;321;5;2.500000;0.272169;0.415373;0.008333
126.000685;349;5;2.500000;0.263981;0.451605;0.033333
136.001421;379;5;2.500000;0.263606;0.490424;0.024998
146.001907;414;5;2.500000;0.277021;0.535714;0.091662
156.001953;443;5;2.500000;0.263561;0.573240;0.066666
166.002279;471;5;2.500000;0.257761;0.609472;0.124996
176.002359;505;5;2.500000;0.264580;0.653468;0.124999
186.002532;534;5;2.500000;0.252987;0.690994;0.183330
196.002873;566;5;2.500000;0.257514;0.732402;0.158328
206.002915;595;5;2.500000;0.259877;0.769928;0.208332
216.003350;625;5;2.500000;0.249280;0.808747;0.166659
226.003521;662;5;2.500000;0.259597;0.856625;0.249996
236.003535;694;5;2.500000;0.256524;0.898033;0.250000
246.003583;723;5;2.500000;0.249803;0.935559;0.274999
256.004769;751;5;2.500000;0.244742;0.971791;0.283300
266.005105;779;5;2.500000;0.245358;1.008023;0.216659
276.005109;808;5;2.500000;0.245560;1.045549;0.258333
286.005247;835;5;2.500000;0.239924;1.080487;0.249997
296.005367;864;5;2.500000;0.240121;1.118012;0.233331
306.005696;894;5;2.500000;0.240521;1.156832;0.216660
316.005752;925;5;2.500000;0.239405;1.196946;0.216665
326.006080;955;5;2.500000;0.240158;1.235766;0.266658
336.006466;989;5;2.500000;0.243395;1.279762;0.241657
346.006653;1018;5;2.500000;0.241351;1.317288;0.308328
356.006741;1049;5;2.500000;0.241640;1.357402;0.224998
366.007384;1076;5;2.500000;0.241844;1.392340;0.283315
376.007389;1107;5;2.500000;0.239844;1.432453;0.275000
386.007473;1138;5;2.500000;0.243150;1.472567;0.258331
396.007626;1167;5;2.500000;0.242905;1.510093;0.366661
406.007958;1198;5;2.500000;0.243650;1.550207;0.274991
416.008080;1227;5;2.500000;0.242419;1.587733;0.333329
426.008244;1255;5;2.500000;0.241751;1.623965;0.308328
436.008488;1290;5;2.500000;0.243488;1.669255;0.224994
446.008640;1314;5;2.500000;0.236475;1.700311;0.266663
456.009217;1345;5;2.500000;0.240826;1.740424;0.358313
466.009228;1373;5;2.500000;0.239659;1.776656;0.400000
476.009379;1405;5;2.500000;0.238565;1.818064;0.366661
486.009582;1433;5;2.500000;0.236029;1.854296;0.383326
496.009737;1461;5;2.500000;0.236972;1.890528;0.349995
506.009739;1492;5;2.500000;0.238942;1.930642;0.408333
516.009822;1523;5;2.500000;0.239504;1.970756;0.374997
526.009845;1554;5;2.500000;0.238754;2.010870;0.374999
536.010270;1580;5;2.500000;0.239579;2.044513;0.433315
546.010675;1610;5;2.500000;0.236935;2.083333;0.383318
556.011021;1639;5;2.500000;0.239329;2.120859;0.433318
566.011186;1662;5;2.500000;0.235750;2.150621;0.408327
576.011490;1690;5;2.500000;0.238556;2.186853;0.449986
586.011505;1717;5;2.500000;0.239121;2.221791;0.408333
596.011513;1745;5;2.500000;0.238706;2.258023;0.400000
606.011561;1771;5;2.500000;0.237245;2.291667;0.416665
616.011808;1804;5;2.500000;0.238885;2.334369;0.541653
626.011938;1828;5;2.500000;0.237859;2.365424;0.408328
636.012104;1861;5;2.500000;0.240706;2.408126;0.591657
646.012162;1887;5;2.500000;0.238036;2.441770;0.541664
656.012184;1911;5;2.500000;0.237591;2.472826;0.358333
666.012219;1940;5;2.500000;0.239007;2.510352;0.583331
676.012326;1968;5;2.500000;0.238400;2.546584;0.566661
686.012333;1994;5;2.500000;0.239916;2.580228;0.350000
696.012352;2021;5;2.500000;0.238601;2.615166;0.583332
706.012402;2046;5;2.500000;0.237503;2.647516;0.566664
716.012452;2076;5;2.500000;0.238038;2.686335;0.558331
726.012471;2099;5;2.500000;0.237392;2.716097;0.424999
736.012573;2124;5;2.500000;0.238085;2.748447;0.508328
746.012598;2145;5;2.500000;0.237916;2.775621;0.574999
756.012713;2163;5;2.500000;0.238098;2.798913;0.499994
766.012740;2184;5;2.500000;0.236626;2.826087;0.574998
776.012807;2206;5;2.500000;0.238008;2.854555;0.566663
786.012824;2228;5;2.500000;0.238759;2.883023;0.533332
796.012894;2248;5;2.500000;0.237952;2.908903;0.608329
806.012932;2270;5;2.500000;0.238746;2.937371;0.541665
816.012965;2288;5;2.500000;0.237901;2.960663;0.458332
826.012969;2301;5;2.500000;0.237687;2.977484;0.525000
836.012972;2318;5;2.500000;0.237486;2.999482;0.458333
846.013083;2339;5;2.500000;0.237916;3.026656;0.658326
856.013171;2352;5;2.500000;0.238469;3.043478;0.499996
866.013520;2373;5;2.500000;0.238403;3.070652;0.633311
876.013650;2394;5;2.500000;0.240136;3.097826;0.533326
886.013667;2409;5;2.500000;0.238173;3.117236;0.508332
896.013718;2423;5;2.500000;0.237883;3.135352;0.549997
906.013826;2442;5;2.500000;0.238774;3.159938;0.499995
916.013865;2461;5;2.500000;0.240145;3.184524;0.549998
926.014028;2481;5;2.500000;0.240297;3.210404;0.608323
936.014112;2496;5;2.500000;0.238464;3.229814;0.616661
946.014130;2513;5;2.500000;0.238890;3.251812;0.516666
956.014313;2528;5;2.500000;0.237951;3.271222;0.558323
966.014341;2547;5;2.500000;0.238535;3.295807;0.666665
976.014391;2563;5;2.500000;0.239591;3.316511;0.516664
986.014409;2582;5;2.500000;0.239463;3.341097;0.616666
996.014436;2600;5;2.500000;0.239077;3.364389;0.599998
1006.014443;2616;5;2.500000;0.240282;3.385093;0.533333
1016.014451;2634;5;2.500000;0.241018;3.408385;0.600000
1026.014475;2653;5;2.500000;0.240135;3.432971;0.574999
1036.014545;2669;5;2.500000;0.240388;3.453675;0.516663
1046.014623;2682;5;2.500000;0.239450;3.470497;0.574995
1056.014682;2695;5;2.500000;0.238665;3.487319;0.658329
1066.014735;2714;5;2.500000;0.240311;3.511905;0.649997
1076.014802;2733;5;2.500000;0.240672;3.536491;0.549996
1086.014938;2746;5;2.500000;0.240923;3.553313;0.599992
1096.015062;2761;5;2.500000;0.240081;3.572723;0.474994
1106.015070;2777;5;2.500000;0.240502;3.593427;0.491666
1116.015126;2795;5;2.500000;0.240443;3.616718;0.541664
1126.015137;2812;5;2.500000;0.241324;3.638716;0.649999
1136.015145;2831;5;2.500000;0.240995;3.663302;0.600000
1146.015204;2848;5;2.500000;0.239916;3.685300;0.599996
1156.015212;2867;5;2.500000;0.240637;3.709886;0.575000
1166.015215;2891;5;2.500000;0.242443;3.740942;0.650000
1176.015284;2904;5;2.500000;0.241315;3.757764;0.574996
1186.015323;2922;5;2.500000;0.241406;3.781056;0.683331
1196.015329;2937;5;2.500000;0.240015;3.800466;0.691666
1206.015377;2954;5;2.500000;0.240797;3.822464;0.633330
1216.015619;2968;5;2.500000;0.239796;3.840580;0.524987
1226.015719;2988;5;2.500000;0.240571;3.866460;0.658327
1236.015757;3002;5;2.500000;0.240134;3.884576;0.599998
1246.015956;3016;5;2.500000;0.240614;3.902692;0.591655
1256.016153;3030;5;2.500000;0.239414;3.920807;0.624988
1266.016177;3047;5;2.500000;0.240112;3.942805;0.608332
1276.016317;3063;5;2.500000;0.241558;3.963509;0.649991
1286.016322;3076;5;2.500000;0.241038;3.980331;0.500000
1296.016421;3090;5;2.500000;0.240793;3.998447;0.608327
1306.016478;3104;5;2.500000;0.241093;4.016563;0.666663
1316.016564;3118;5;2.500000;0.240531;4.034679;0.599995
1326.016617;3137;5;2.500000;0.242395;4.059265;0.574997
1336.016640;3152;5;2.500000;0.241626;4.078675;0.699998
1346.016795;3166;5;2.500000;0.241660;4.096791;0.716656
1356.016947;3186;5;2.500000;0.241827;4.122671;0.616657
