Time;PeopleCount;WindowSize;CellsInMeter;MeanSpeed;Density;Flow
6.000000;1;5;2.500000;1.145353;0.001294;0.000000
16.000000;31;5;2.500000;1.309223;0.040114;0.000000
26.000000;57;5;2.500000;1.328638;0.073758;0.000000
36.000000;92;5;2.500000;1.319981;0.119048;0.108333
46.000000;120;5;2.500000;1.346306;0.155280;0.233333
56.000000;156;5;2.500000;1.329350;0.201863;0.250000
66.000000;182;5;2.500000;1.338337;0.235507;0.275000
76.000000;213;5;2.500000;1.328704;0.275621;0.325000
86.000000;241;5;2.500000;1.237251;0.311853;0.350000
96.000000;269;5;2.500000;1.036304;0.348085;0.333333
106.000000;293;5;2.500000;0.874849;0.379141;0.300000
116.000045;316;5;2.500000;0.709605;0.408903;0.183333
126.000821;336;5;2.500000;0.589723;0.434783;0.099992
136.002234;362;5;2.500000;0.512005;0.468427;0.083322
146.003435;385;5;2.500000;0.494441;0.498188;0.133317
156.003892;416;5;2.500000;0.463629;0.538302;0.116661
166.005602;442;5;2.500000;0.454304;0.571946;0.149974
176.005674;474;5;2.500000;0.437331;0.613354;0.108333
186.005742;499;5;2.500000;0.401153;0.645704;0.141666
196.005806;534;5;2.500000;0.407802;0.690994;0.116666
206.006024;564;5;2.500000;0.380957;0.729814;0.133330
216.006091;595;5;2.500000;0.361988;0.769928;0.091666
226.006246;625;5;2.500000;0.358135;0.808747;0.099998
236.006402;653;5;2.500000;0.356505;0.844979;0.174997
246.006598;686;5;2.500000;0.384208;0.887681;0.183330
256.006611;716;5;2.500000;0.380283;0.926501;0.183333
266.006661;741;5;2.500000;0.366367;0.958851;0.124999
276.007353;766;5;2.500000;0.335144;0.991201;0.133324
286.007420;797;5;2.500000;0.325386;1.031315;0.108333
296.007491;829;5;2.500000;0.327788;1.072723;0.208332
306.007537;853;5;2.500000;0.332320;1.103778;0.291665
316.007545;883;5;2.500000;0.321388;1.142598;0.458333
326.007940;912;5;2.500000;0.300400;1.180124;0.499980
336.007985;945;5;2.500000;0.298313;1.222826;0.483331
346.008081;977;5;2.500000;0.298177;1.264234;0.391663
356.008380;1004;5;2.500000;0.299605;1.299172;0.433320
366.008734;1039;5;2.500000;0.302683;1.344462;0.441651
376.008936;1069;5;2.500000;0.299943;1.383282;0.458324
