Time;PeopleCount;WindowSize;CellsInMeter;MeanSpeed;Density;Flow
0.316113;4;5;2.500000;0.316343;0.008013;0.000000
10.346826;11;5;2.500000;1.317469;0.022035;0.000000
20.379877;19;5;2.500000;1.264074;0.038061;0.199341
30.396600;26;5;2.500000;1.242768;0.052083;0.598998
40.398914;33;5;2.500000;1.263764;0.066106;0.699838
50.402293;40;5;2.500000;1.294608;0.080128;0.899696
60.417736;49;5;2.500000;1.299815;0.098157;0.798766
70.426782;56;5;2.500000;1.288480;0.112179;1.398735
80.429803;65;5;2.500000;1.301731;0.130208;1.099668
90.435075;75;5;2.500000;1.286205;0.150240;1.699104
100.442719;84;5;2.500000;1.309033;0.168269;1.798625
110.447846;93;5;2.500000;1.308978;0.186298;1.499231
120.448457;102;5;2.500000;1.333674;0.204327;2.599841
130.448912;109;5;2.500000;1.295987;0.218349;1.999909
140.453291;116;5;2.500000;1.312500;0.232372;2.598862
150.463348;126;5;2.500000;1.329818;0.252404;1.898091
160.475526;134;5;2.500000;1.328998;0.268429;3.595621
170.476906;142;5;2.500000;1.330667;0.284455;3.699490
180.478798;152;5;2.500000;1.344932;0.304487;2.199584
190.481205;157;5;2.500000;1.328923;0.314503;2.899302
200.483235;166;5;2.500000;1.347533;0.332532;3.099371
210.486861;173;5;2.500000;1.347607;0.346554;4.098514
220.487893;179;5;2.500000;1.343214;0.358574;3.799608
230.489868;191;5;2.500000;1.352918;0.382612;3.799250
240.490084;195;5;2.500000;1.349569;0.390625;3.799918
250.490264;204;5;2.500000;1.349199;0.408654;3.499937
260.492039;212;5;2.500000;1.350683;0.424679;5.898953
270.496765;220;5;2.500000;1.343445;0.440705;3.498347
280.497150;227;5;2.500000;1.349987;0.454728;5.099804
290.497559;235;5;2.500000;1.361628;0.470753;4.899800
300.498883;242;5;2.500000;1.343360;0.484776;4.699378
310.498927;253;5;2.500000;1.350823;0.506811;5.599975
320.499445;260;5;2.500000;1.349348;0.520833;4.599762
330.500616;269;5;2.500000;1.360661;0.538862;6.799204
340.500657;276;5;2.500000;1.357987;0.552885;4.999980
350.501201;285;5;2.500000;1.355292;0.570913;5.899679
360.502186;291;5;2.500000;1.357312;0.582933;6.199389
370.507614;301;5;2.500000;1.358062;0.602965;4.997287
380.507680;306;5;2.500000;1.356242;0.612981;7.899948
390.508444;315;5;2.500000;1.352347;0.631010;5.699564
400.509098;325;5;2.500000;1.350881;0.651042;5.799621
410.513945;333;5;2.500000;1.359003;0.667067;7.196512
420.514657;339;5;2.500000;1.358188;0.679087;8.699381
430.515779;347;5;2.500000;1.358201;0.695112;6.299293
440.517225;355;5;2.500000;1.359758;0.711138;7.098973
450.517447;362;5;2.500000;1.353846;0.725160;7.399836
460.518284;374;5;2.500000;1.363936;0.749199;6.199481
470.518432;384;5;2.500000;1.353214;0.769231;8.499875
480.518640;392;5;2.500000;1.355989;0.785256;9.499802
490.519185;399;5;2.500000;1.363260;0.799279;6.999618
500.519399;407;5;2.500000;1.361946;0.815304;8.899810
510.519413;415;5;2.500000;1.356246;0.831330;8.299988
520.519973;422;5;2.500000;1.360548;0.845353;8.299536
530.521184;431;5;2.500000;1.355694;0.863381;8.099019
540.522421;439;5;2.500000;1.355530;0.879407;8.998887
550.522607;445;5;2.500000;1.363924;0.891426;10.799799
560.523473;454;5;2.500000;1.363118;0.909455;8.999220
570.523519;462;5;2.500000;1.356407;0.925481;8.099963
580.523827;468;5;2.500000;1.368247;0.937500;9.899695
590.525147;477;5;2.500000;1.360093;0.955529;8.898825
600.526592;485;5;2.500000;1.358191;0.971554;10.598469
610.526956;491;5;2.500000;1.360800;0.983574;10.599614
620.527023;497;5;2.500000;1.358597;0.995593;10.499930
630.527196;504;5;2.500000;1.360415;1.009615;8.799848
640.527565;512;5;2.500000;1.359422;1.025641;9.699642
650.528137;517;5;2.500000;1.364270;1.035657;10.299411
660.528565;527;5;2.500000;1.352222;1.055689;10.299559
670.528872;534;5;2.500000;1.346406;1.069712;12.699610
680.529911;544;5;2.500000;1.360396;1.089744;9.299034
690.530132;553;5;2.500000;1.352777;1.107772;12.499723
700.530801;560;5;2.500000;1.352066;1.121795;9.399372
710.531840;566;5;2.500000;1.361834;1.133814;10.998857
720.532199;574;5;2.500000;1.357303;1.149840;12.599548
