Time;PeopleCount;WindowSize;CellsInMeter;MeanSpeed;Density;Flow
6.000000;1;5;2.500000;1.145353;0.001294;0.000000
16.000000;33;5;2.500000;1.293115;0.042702;0.000000
26.000000;65;5;2.500000;1.277874;0.084110;0.000000
36.000000;93;5;2.500000;1.240036;0.120342;0.083333
46.000000;123;5;2.500000;1.232376;0.159161;0.250000
56.000000;158;5;2.500000;1.220013;0.204451;0.183333
66.000000;184;5;2.500000;1.129359;0.238095;0.241667
76.000000;214;5;2.500000;1.043601;0.276915;0.291667
86.000000;233;5;2.500000;0.895864;0.301501;0.241667
96.000000;256;5;2.500000;0.810281;0.331263;0.141667
106.000000;271;5;2.500000;0.749636;0.350673;0.133333
116.002334;293;5;2.500000;0.643167;0.379141;0.149965
126.002823;306;5;2.500000;0.620490;0.395963;0.183324
136.002972;326;5;2.500000;0.605051;0.421843;0.224997
146.003299;347;5;2.500000;0.626363;0.449017;0.158328
156.003600;360;5;2.500000;0.627135;0.465839;0.191661
166.004447;380;5;2.500000;0.626794;0.491718;0.174985
176.004455;398;5;2.500000;0.629203;0.515010;0.258333
186.005885;412;5;2.500000;0.626056;0.533126;0.224968
196.006061;434;5;2.500000;0.626361;0.561594;0.299995
206.006114;454;5;2.500000;0.636481;0.587474;0.258332
216.006307;468;5;2.500000;0.607243;0.605590;0.274995
226.007111;481;5;2.500000;0.565065;0.622412;0.233315
236.007133;494;5;2.500000;0.542073;0.639234;0.216666
246.007494;508;5;2.500000;0.542960;0.657350;0.183327
256.007520;523;5;2.500000;0.531118;0.676760;0.249999
266.007524;538;5;2.500000;0.501086;0.696170;0.266667
276.008650;549;5;2.500000;0.490973;0.710404;0.208310
286.008822;567;5;2.500000;0.496476;0.733696;0.141664
296.008827;576;5;2.500000;0.478377;0.745342;0.225000
306.009310;594;5;2.500000;0.467030;0.768634;0.216656
316.009900;607;5;2.500000;0.484049;0.785455;0.274984
326.010334;621;5;2.500000;0.482276;0.803571;0.191658
336.010355;634;5;2.500000;0.475540;0.820393;0.291666
346.010620;653;5;2.500000;0.491092;0.844979;0.191662
356.010646;662;5;2.500000;0.473406;0.856625;0.316666
366.011220;673;5;2.500000;0.482470;0.870859;0.241653
376.011506;683;5;2.500000;0.475722;0.883799;0.283325
