Time;PeopleCount;WindowSize;CellsInMeter;MeanSpeed;Density;Flow
6.000000;1;5;2.500000;1.145353;0.001294;0.000000
16.000000;31;5;2.500000;1.309223;0.040114;0.000000
26.000000;57;5;2.500000;1.328638;0.073758;0.000000
36.000000;93;5;2.500000;1.315347;0.120342;0.108333
46.000000;122;5;2.500000;1.330908;0.157867;0.258333
56.000000;151;5;2.500000;1.326137;0.195393;0.216667
66.000000;185;5;2.500000;1.328478;0.239389;0.316667
76.000000;215;5;2.500000;1.321209;0.278209;0.291667
86.000000;244;5;2.500000;1.317161;0.315735;0.375000
96.000000;279;5;2.500000;1.321788;0.361025;0.408333
106.000000;308;5;2.500000;1.326880;0.398551;0.433333
116.000000;338;5;2.500000;1.330414;0.437371;0.633333
126.000000;365;5;2.500000;1.328987;0.472308;0.558333
136.000000;395;5;2.500000;1.323095;0.511128;0.641667
146.000000;422;5;2.500000;1.323585;0.546066;0.650000
156.000000;455;5;2.500000;1.326685;0.588768;0.625000
166.000000;487;5;2.500000;1.335084;0.630176;0.791667
176.000000;514;5;2.500000;1.332390;0.665114;0.941667
186.000000;545;5;2.500000;1.329448;0.705228;0.791667
196.000000;574;5;2.500000;1.328526;0.742754;0.950000
206.000000;604;5;2.500000;1.329860;0.781573;0.791667
216.000000;637;5;2.500000;1.327131;0.824275;1.100000
226.000000;668;5;2.500000;1.331166;0.864389;1.066667
236.000000;693;5;2.500000;1.332091;0.896739;1.091667
246.000000;726;5;2.500000;1.332439;0.939441;1.233333
256.000000;756;5;2.500000;1.334205;0.978261;1.308333
266.000000;791;5;2.500000;1.335242;1.023551;0.958333
276.000213;817;5;2.500000;1.335278;1.057195;1.374971
286.000409;848;5;2.500000;1.335532;1.097308;1.358307
296.002612;873;5;2.500000;1.336373;1.129658;1.324708
306.003070;904;5;2.500000;1.334879;1.169772;1.641592
316.003909;935;5;2.500000;1.331777;1.209886;1.349887
326.004162;965;5;2.500000;1.333338;1.248706;1.508295
336.004942;993;5;2.500000;1.327996;1.284938;1.541546
346.005269;1022;5;2.500000;1.330062;1.322464;1.666612
356.005269;1057;5;2.500000;1.333578;1.367754;1.475000
366.005622;1086;5;2.500000;1.330816;1.405280;1.766604
