Time;PeopleCount;WindowSize;CellsInMeter;MeanSpeed;Density;Flow
6.000000;1;5;2.500000;1.145353;0.001294;0.000000
16.000000;31;5;2.500000;1.314349;0.040114;0.000000
26.000000;56;5;2.500000;1.331812;0.072464;0.000000
36.000000;93;5;2.500000;1.326746;0.120342;0.116667
46.000000;121;5;2.500000;1.339066;0.156573;0.241667
56.000000;154;5;2.500000;1.330812;0.199275;0.216667
66.000000;184;5;2.500000;1.343890;0.238095;0.283333
76.000000;214;5;2.500000;1.334975;0.276915;0.300000
86.000000;241;5;2.500000;1.311883;0.311853;0.325000
96.000000;273;5;2.500000;1.280927;0.353261;0.366667
106.000000;298;5;2.500000;1.245721;0.385611;0.400000
116.000000;324;5;2.500000;1.201528;0.419255;0.450000
126.001261;344;5;2.500000;1.163617;0.445135;0.424946
136.001444;369;5;2.500000;1.121940;0.477484;0.483324
146.001747;388;5;2.500000;1.099191;0.502070;0.399988
156.002302;402;5;2.500000;1.064307;0.520186;0.391645
166.003532;414;5;2.500000;0.976648;0.535714;0.449945
176.003797;433;5;2.500000;0.920133;0.560300;0.416656
186.003805;451;5;2.500000;0.858769;0.583592;0.333333
196.003854;465;5;2.500000;0.827419;0.601708;0.374998
206.005998;482;5;2.500000;0.766592;0.623706;0.374920
216.006568;497;5;2.500000;0.750000;0.643116;0.383311
226.007515;516;5;2.500000;0.764331;0.667702;0.266641
236.007969;538;5;2.500000;0.756119;0.696170;0.399982
246.008150;560;5;2.500000;0.736352;0.724638;0.491658
256.008456;581;5;2.500000;0.725481;0.751812;0.399988
266.008541;595;5;2.500000;0.739946;0.769928;0.416663
276.008793;612;5;2.500000;0.713385;0.791925;0.441656
286.008883;626;5;2.500000;0.668669;0.810041;0.449996
296.008883;644;5;2.500000;0.663484;0.833333;0.325000
306.008960;660;5;2.500000;0.656595;0.854037;0.324997
316.008974;674;5;2.500000;0.641679;0.872153;0.483333
326.009235;690;5;2.500000;0.611695;0.892857;0.441655
336.009482;708;5;2.500000;0.625355;0.916149;0.333325
346.009629;725;5;2.500000;0.617878;0.938147;0.424994
356.010356;738;5;2.500000;0.595226;0.954969;0.449967
366.010485;753;5;2.500000;0.601147;0.974379;0.349995
376.010709;773;5;2.500000;0.588590;1.000259;0.424990
386.011029;786;5;2.500000;0.588378;1.017081;0.408320
396.011234;803;5;2.500000;0.567640;1.039079;0.466657
406.011741;817;5;2.500000;0.563313;1.057195;0.391647
416.011984;830;5;2.500000;0.563095;1.074017;0.433323
426.012125;846;5;2.500000;0.553936;1.094720;0.433327
436.012329;864;5;2.500000;0.546309;1.118012;0.433324
446.012466;880;5;2.500000;0.529846;1.138716;0.424994
456.012482;890;5;2.500000;0.529713;1.151656;0.349999
466.012817;906;5;2.500000;0.510976;1.172360;0.483317
476.013145;917;5;2.500000;0.504206;1.186594;0.366655
486.013300;931;5;2.500000;0.495524;1.204710;0.433327
496.013778;949;5;2.500000;0.496518;1.228002;0.374982
506.013793;962;5;2.500000;0.488545;1.244824;0.349999
516.013803;973;5;2.500000;0.486481;1.259058;0.450000
526.013986;989;5;2.500000;0.491078;1.279762;0.474991
536.014036;1010;5;2.500000;0.496602;1.306936;0.474998
546.014254;1024;5;2.500000;0.471276;1.325052;0.424991
556.014332;1042;5;2.500000;0.474106;1.348344;0.341664
566.014550;1057;5;2.500000;0.469258;1.367754;0.391658
576.014661;1068;5;2.500000;0.465018;1.381988;0.441662
586.014842;1080;5;2.500000;0.463915;1.397516;0.483325
596.014861;1098;5;2.500000;0.454800;1.420807;0.424999
606.015054;1118;5;2.500000;0.449081;1.446687;0.408325
616.015153;1138;5;2.500000;0.444304;1.472567;0.458329
626.015324;1149;5;2.500000;0.422061;1.486801;0.274995
636.015351;1165;5;2.500000;0.419625;1.507505;0.424999
646.015645;1179;5;2.500000;0.420238;1.525621;0.391655
656.015796;1192;5;2.500000;0.409762;1.542443;0.424994
666.016077;1207;5;2.500000;0.418827;1.561853;0.374989
676.016599;1221;5;2.500000;0.427091;1.579969;0.491641
686.016742;1237;5;2.500000;0.427365;1.600673;0.508326
696.016800;1252;5;2.500000;0.423930;1.620083;0.408331
706.016806;1270;5;2.500000;0.427307;1.643375;0.433333
716.016861;1280;5;2.500000;0.409341;1.656315;0.416664
726.016941;1293;5;2.500000;0.405032;1.673137;0.424997
736.017135;1310;5;2.500000;0.406831;1.695135;0.474991
746.017333;1326;5;2.500000;0.413899;1.715839;0.474991
756.017336;1344;5;2.500000;0.413468;1.739130;0.408333
766.017442;1359;5;2.500000;0.410871;1.758540;0.466662
776.017443;1375;5;2.500000;0.400906;1.779244;0.458333
786.017512;1389;5;2.500000;0.395715;1.797360;0.416664
796.017523;1402;5;2.500000;0.389564;1.814182;0.408333
806.017569;1418;5;2.500000;0.388452;1.834886;0.433331
816.017639;1434;5;2.500000;0.387164;1.855590;0.391664
826.017689;1452;5;2.500000;0.378291;1.878882;0.358332
836.017739;1467;5;2.500000;0.386434;1.898292;0.474998
846.017766;1473;5;2.500000;0.365195;1.906056;0.341666
856.017848;1488;5;2.500000;0.357944;1.925466;0.349997
866.017986;1502;5;2.500000;0.367042;1.943582;0.499993
876.018096;1516;5;2.500000;0.368289;1.961698;0.533327
886.018269;1529;5;2.500000;0.371043;1.978520;0.441659
896.018338;1543;5;2.500000;0.363259;1.996636;0.541663
906.018379;1555;5;2.500000;0.360250;2.012164;0.549998
916.018671;1573;5;2.500000;0.356840;2.035455;0.574983
926.018721;1590;5;2.500000;0.364204;2.057453;0.591664
936.018775;1599;5;2.500000;0.360828;2.069099;0.583330
946.018827;1615;5;2.500000;0.359191;2.089803;0.599997
956.018882;1633;5;2.500000;0.354201;2.113095;0.558330
966.019041;1649;5;2.500000;0.358061;2.133799;0.599990
976.019176;1664;5;2.500000;0.358674;2.153209;0.508326
986.019190;1675;5;2.500000;0.356801;2.167443;0.624999
996.019335;1688;5;2.500000;0.351877;2.184265;0.658324
1006.019459;1701;5;2.500000;0.350432;2.201087;0.616659
1016.019703;1711;5;2.500000;0.343080;2.214027;0.608318
1026.019795;1726;5;2.500000;0.346586;2.233437;0.666661
1036.019846;1743;5;2.500000;0.344629;2.255435;0.674997
1046.019882;1757;5;2.500000;0.349153;2.273551;0.649998
1056.019931;1766;5;2.500000;0.347096;2.285197;0.699997
1066.019964;1775;5;2.500000;0.340572;2.296843;0.708331
1076.020074;1793;5;2.500000;0.333328;2.320135;0.624993
1086.020153;1799;5;2.500000;0.327131;2.327899;0.658328
1096.020238;1817;5;2.500000;0.328497;2.351190;0.633328
1106.020282;1831;5;2.500000;0.326413;2.369306;0.633331
1116.020308;1843;5;2.500000;0.328698;2.384834;0.683332
1126.020334;1858;5;2.500000;0.330750;2.404244;0.716665
1136.020460;1874;5;2.500000;0.331184;2.424948;0.683325
1146.020460;1884;5;2.500000;0.327242;2.437888;0.658333
1156.020585;1897;5;2.500000;0.327336;2.454710;0.708324
1166.020642;1907;5;2.500000;0.329132;2.467650;0.624996
1176.020719;1920;5;2.500000;0.320123;2.484472;0.658328
1186.020736;1934;5;2.500000;0.320901;2.502588;0.716665
1196.020773;1950;5;2.500000;0.320735;2.523292;0.649998
1206.020812;1967;5;2.500000;0.314433;2.545290;0.699997
1216.020850;1981;5;2.500000;0.310565;2.563406;0.758330
1226.021001;1998;5;2.500000;0.309134;2.585404;0.699989
1236.021008;2009;5;2.500000;0.306145;2.599638;0.708333
1246.021035;2022;5;2.500000;0.319803;2.616460;0.691665
1256.021073;2034;5;2.500000;0.315507;2.631988;0.749997
1266.021120;2041;5;2.500000;0.310922;2.641046;0.683330
1276.021211;2058;5;2.500000;0.310149;2.663043;0.733327
1286.021255;2071;5;2.500000;0.307196;2.679865;0.683330
1296.021301;2084;5;2.500000;0.307053;2.696687;0.683330
1306.021406;2093;5;2.500000;0.307269;2.708333;0.733326
1316.021530;2109;5;2.500000;0.304284;2.729037;0.783324
1326.021614;2122;5;2.500000;0.306872;2.745859;0.691661
1336.021636;2136;5;2.500000;0.302362;2.763975;0.816665
1346.021679;2148;5;2.500000;0.302297;2.779503;0.783330
1356.021726;2162;5;2.500000;0.304836;2.797619;0.708330
1366.022111;2177;5;2.500000;0.301822;2.817029;0.683307
1376.022211;2186;5;2.500000;0.297819;2.828675;0.708326
1386.022235;2202;5;2.500000;0.292195;2.849379;0.716665
1396.022320;2217;5;2.500000;0.301797;2.868789;0.691661
1406.022336;2234;5;2.500000;0.298111;2.890787;0.674999
1416.022619;2251;5;2.500000;0.293272;2.912785;0.708313
1426.022766;2265;5;2.500000;0.300988;2.930901;0.724989
1436.023015;2276;5;2.500000;0.293932;2.945135;0.783314
1446.023142;2288;5;2.500000;0.289842;2.960663;0.691658
1456.023293;2301;5;2.500000;0.293157;2.977484;0.791655
1466.023362;2310;5;2.500000;0.289539;2.989130;0.749995
1476.023381;2325;5;2.500000;0.292511;3.008540;0.733332
1486.023444;2340;5;2.500000;0.289885;3.027950;0.699996
1496.023504;2355;5;2.500000;0.281608;3.047360;0.741662
1506.023545;2374;5;2.500000;0.289361;3.071946;0.749997
1516.023570;2390;5;2.500000;0.286181;3.092650;0.766665
1526.023585;2404;5;2.500000;0.286533;3.110766;0.808332
1536.023745;2423;5;2.500000;0.281382;3.135352;0.749988
1546.023940;2438;5;2.500000;0.287229;3.154762;0.758319
1556.024100;2445;5;2.500000;0.279342;3.163820;0.766654
1566.024330;2458;5;2.500000;0.282832;3.180642;0.783315
1576.024347;2473;5;2.500000;0.284544;3.200052;0.824999
1586.024365;2480;5;2.500000;0.280121;3.209110;0.783332
1596.024377;2497;5;2.500000;0.280013;3.231108;0.674999
1606.024475;2507;5;2.500000;0.280545;3.244048;0.724993
1616.024499;2523;5;2.500000;0.280484;3.264752;0.774998
1626.024511;2534;5;2.500000;0.277609;3.278986;0.774999
1636.024514;2546;5;2.500000;0.277192;3.294513;0.708333
1646.024547;2559;5;2.500000;0.271301;3.311335;0.683331
1656.024571;2569;5;2.500000;0.275393;3.324275;0.799998
1666.024747;2580;5;2.500000;0.270928;3.338509;0.691655
1676.024789;2596;5;2.500000;0.273758;3.359213;0.683330
1686.024832;2613;5;2.500000;0.272697;3.381211;0.758330
1696.024845;2628;5;2.500000;0.271724;3.400621;0.749999
1706.024848;2648;5;2.500000;0.273248;3.426501;0.766666
1716.024916;2659;5;2.500000;0.268649;3.440735;0.774995
1726.025017;2674;5;2.500000;0.264108;3.460145;0.791659
1736.025062;2690;5;2.500000;0.268889;3.480849;0.749997
1746.025115;2706;5;2.500000;0.266324;3.501553;0.783329
1756.025306;2719;5;2.500000;0.264258;3.518375;0.758319
1766.025334;2736;5;2.500000;0.265964;3.540373;0.824998
1776.025471;2749;5;2.500000;0.261205;3.557195;0.699990
1786.025473;2766;5;2.500000;0.259390;3.579193;0.725000
1796.025632;2782;5;2.500000;0.257235;3.599896;0.758321
1806.025749;2798;5;2.500000;0.254603;3.620600;0.699992
1816.025804;2817;5;2.500000;0.253134;3.645186;0.766662
1826.025949;2840;5;2.500000;0.250582;3.674948;0.766656
1836.026003;2855;5;2.500000;0.250806;3.694358;0.799996
1846.026010;2870;5;2.500000;0.248153;3.713768;0.674999
1856.026217;2887;5;2.500000;0.250896;3.735766;0.716652
1866.026312;2902;5;2.500000;0.250454;3.755176;0.799992
1876.026388;2920;5;2.500000;0.251036;3.778468;0.724994
1886.026536;2932;5;2.500000;0.249266;3.793996;0.816655
1896.026550;2941;5;2.500000;0.248450;3.805642;0.691666
1906.026629;2962;5;2.500000;0.249198;3.832816;0.724994
1916.026657;2975;5;2.500000;0.249659;3.849638;0.799998
1926.026763;2993;5;2.500000;0.251216;3.872930;0.849991
1936.026790;3009;5;2.500000;0.249611;3.893634;0.733331
1946.026795;3020;5;2.500000;0.248591;3.907867;0.783333
1956.026797;3035;5;2.500000;0.249304;3.927277;0.825000
1966.026819;3050;5;2.500000;0.250133;3.946687;0.824998
1976.026855;3064;5;2.500000;0.249138;3.964803;0.816664
1986.026858;3079;5;2.500000;0.249258;3.984213;0.791666
1996.026872;3092;5;2.500000;0.247600;4.001035;0.716666
2006.026874;3107;5;2.500000;0.249064;4.020445;0.841666
2016.027025;3118;5;2.500000;0.247806;4.034679;0.808321
2026.027026;3141;5;2.500000;0.249532;4.064441;0.758333
2036.027045;3158;5;2.500000;0.248671;4.086439;0.741665
2046.027064;3177;5;2.500000;0.248667;4.111025;0.733332
2056.027111;3193;5;2.500000;0.247721;4.131729;0.816663
