Time;PeopleCount;WindowSize;CellsInMeter;MeanSpeed;Density;Flow
0.276662;35;5;3.000000;1.167939;0.045566;0.000000
10.291381;57;5;3.000000;1.180591;0.074208;0.000000
20.300761;88;5;3.000000;1.157263;0.114567;0.000000
30.301378;126;5;3.000000;1.137734;0.164039;0.199988
40.301765;163;5;3.000000;1.141808;0.212209;0.291655
50.302297;202;5;3.000000;1.143369;0.262983;0.208322
60.302754;235;5;3.000000;1.132727;0.305945;0.324985
70.303644;269;5;3.000000;1.130217;0.350210;0.333304
80.305019;310;5;3.000000;1.129193;0.403587;0.366616
90.306087;339;5;3.000000;1.124965;0.441342;0.474949
100.307193;379;5;3.000000;1.124760;0.493418;0.441618
110.307366;421;5;3.000000;1.132106;0.548098;0.516658
120.307911;458;5;3.000000;1.123673;0.596268;0.641632
130.308173;492;5;3.000000;1.124657;0.640532;0.616650
140.308538;527;5;3.000000;1.127226;0.686099;0.741640
150.308595;564;5;3.000000;1.128957;0.734269;0.749996
160.309250;602;5;3.000000;1.132610;0.783741;0.708287
170.310066;639;5;3.000000;1.129674;0.831911;0.791602
180.310200;672;5;3.000000;1.126325;0.874873;0.799989
190.311384;711;5;3.000000;1.127874;0.925647;0.983217
200.311497;747;5;3.000000;1.128867;0.972516;1.016655
210.312820;777;5;3.000000;1.138421;1.011572;0.999868
220.312824;810;5;3.000000;1.130054;1.054535;1.058333
230.312878;850;5;3.000000;1.135178;1.106611;1.066661
240.313020;886;5;3.000000;1.135144;1.153479;1.216649
250.313168;920;5;3.000000;1.132095;1.197743;1.041651
260.313328;954;5;3.000000;1.139385;1.242008;1.249980
270.313375;987;5;3.000000;1.138680;1.284970;1.249994
280.314001;1025;5;3.000000;1.134898;1.334442;1.358248
290.314449;1056;5;3.000000;1.135164;1.374801;1.424936
300.314513;1094;5;3.000000;1.135927;1.424273;1.433324
310.314821;1133;5;3.000000;1.137366;1.475047;1.383291
320.314972;1166;5;3.000000;1.137524;1.518010;1.491644
330.314987;1203;5;3.000000;1.134540;1.566180;1.491664
340.315131;1241;5;3.000000;1.134175;1.615652;1.591644
350.315312;1274;5;3.000000;1.138349;1.658614;1.708302
360.315793;1309;5;3.000000;1.137330;1.704181;1.716584
370.316130;1342;5;3.000000;1.136096;1.747143;1.633278
380.316553;1377;5;3.000000;1.134776;1.792709;1.716594
390.317104;1415;5;3.000000;1.137553;1.842181;1.774902
400.317200;1451;5;3.000000;1.135545;1.889050;1.874982
410.317280;1486;5;3.000000;1.138098;1.934616;2.016651
420.317613;1524;5;3.000000;1.138131;1.984088;1.841605
430.318036;1563;5;3.000000;1.142005;2.034862;1.933252
440.318322;1599;5;3.000000;1.139061;2.081730;2.024942
450.318469;1631;5;3.000000;1.142150;2.123391;2.124969
460.319073;1669;5;3.000000;1.141939;2.172863;2.091540
470.319230;1701;5;3.000000;1.141122;2.214523;2.266631
480.319283;1737;5;3.000000;1.140208;2.261392;2.291655
490.319391;1773;5;3.000000;1.139642;2.308260;2.099977
500.319485;1809;5;3.000000;1.144206;2.355128;2.358311
510.319641;1835;5;3.000000;1.140254;2.388977;2.158300
520.319645;1871;5;3.000000;1.143419;2.435846;2.549999
530.319724;1901;5;3.000000;1.145322;2.474902;2.391648
540.319887;1935;5;3.000000;1.147378;2.519167;2.416627
550.319992;1963;5;3.000000;1.143891;2.555620;2.508307
560.320228;1995;5;3.000000;1.141453;2.597280;2.533274
570.320420;2027;5;3.000000;1.142450;2.638941;2.516619
580.320473;2068;5;3.000000;1.143321;2.692319;2.533320
590.320516;2105;5;3.000000;1.141672;2.740489;2.616655
600.320684;2136;5;3.000000;1.139292;2.780848;2.766620
610.320884;2161;5;3.000000;1.141645;2.813395;2.974940
620.320886;2197;5;3.000000;1.142885;2.860263;2.841666
630.320891;2227;5;3.000000;1.141014;2.899320;2.741665
640.320957;2261;5;3.000000;1.141008;2.943585;2.624983
650.321069;2293;5;3.000000;1.141175;2.985245;2.758302
660.321084;2328;5;3.000000;1.144107;3.030812;2.916662
670.321264;2359;5;3.000000;1.142077;3.071170;3.316607
